;ano;mes;seguradora;vendedor;tot_apolices;receita;tot_receita;month_name
0;2019;1;72;58;1;65,3;65,3;January
1;2019;1;72;57;4;1360,235;5440,94;January
2;2019;1;72;56;3;276,49;829,47;January
3;2019;1;72;47;2;-1707,095;-3414,19;January
4;2019;1;72;38;3;1080,745;3242,2349999999997;January
5;2019;1;72;35;2;446,095;892,19;January
6;2019;1;72;20;2;462,035;924,07;January
7;2019;1;72;17;1;139,395;139,395;January
8;2019;1;72;16;2;125,85;251,7;January
9;2019;1;72;14;2;126,785;253,57;January
10;2019;1;72;12;6;412,11;2472,66;January
11;2019;1;72;9;1;66,515;66,515;January
12;2019;1;72;2;3;631,265;1893,795;January
13;2019;1;72;1;1;155,67;155,67;January
14;2019;1;66;57;2;89,42;178,84;January
15;2019;1;66;56;1;90,9;90,9;January
16;2019;1;66;55;1;71,42;71,42;January
17;2019;1;66;38;5;265,21;1326,05;January
18;2019;1;66;20;1;71,42;71,42;January
19;2019;1;66;16;3;223,485;670,455;January
20;2019;1;66;14;2;642,53;1285,06;January
21;2019;1;66;1;1;71,42;71,42;January
22;2019;1;44;56;1;84,095;84,095;January
23;2019;1;44;42;1;81,8;81,8;January
24;2019;1;44;38;4;474,08;1896,32;January
25;2019;1;44;16;1;69,0;69,0;January
26;2019;1;44;14;1;69,0;69,0;January
27;2019;1;44;9;1;83,11;83,11;January
28;2019;1;55;20;1;1283,105;1283,105;January
29;2019;1;58;9;2;175,175;350,35;January
30;2019;1;23;20;1;110,8;110,8;January
31;2019;1;21;12;1;3225,78;3225,78;January
32;2019;2;21;16;1;395,995;395,995;February
33;2019;2;38;56;1;243,45;243,45;February
34;2019;2;23;20;1;110,25;110,25;February
35;2019;2;58;9;2;100,07;200,14;February
36;2019;2;43;17;1;243,265;243,265;February
37;2019;2;44;56;1;546,86;546,86;February
38;2019;2;44;42;2;76,31;152,62;February
39;2019;2;44;38;5;788,665;3943,325;February
40;2019;2;44;16;4;344,69;1378,76;February
41;2019;2;44;14;2;98,875;197,75;February
42;2019;2;44;12;4;352,765;1411,06;February
43;2019;2;44;9;2;100,015;200,03;February
44;2019;2;64;26;2;113,165;226,33;February
45;2019;2;31;57;1;810,835;810,835;February
46;2019;2;31;35;1;94,68;94,68;February
47;2019;2;31;20;1;880,185;880,185;February
48;2019;2;31;1;2;806,33;1612,66;February
49;2019;2;66;57;3;997,575;2992,7250000000004;February
50;2019;2;66;56;2;105,315;210,63;February
51;2019;2;66;47;1;71,42;71,42;February
52;2019;2;66;39;1;60,71;60,71;February
53;2019;2;66;38;8;506,76;4054,08;February
54;2019;2;66;35;3;289,81;869,4300000000001;February
55;2019;2;66;20;3;156,815;470,445;February
56;2019;2;66;19;5;264,65;1323,25;February
57;2019;2;66;18;1;92,985;92,985;February
58;2019;2;66;16;4;393,005;1572,02;February
59;2019;2;66;14;4;369,59;1478,36;February
60;2019;2;66;1;2;205,125;410,25;February
61;2019;2;72;57;8;3043,035;24344,28;February
62;2019;2;72;56;8;1198,175;9585,4;February
63;2019;2;72;47;5;503,455;2517,275;February
64;2019;2;72;46;1;104,27;104,27;February
65;2019;2;72;42;2;2521,845;5043,69;February
66;2019;2;72;41;3;394,86;1184,58;February
67;2019;2;72;39;2;932,205;1864,41;February
68;2019;2;72;38;10;2750,97;27509,699999999997;February
69;2019;2;72;35;4;503,985;2015,94;February
70;2019;2;72;20;3;1111,17;3333,51;February
71;2019;2;72;18;1;220,06;220,06;February
72;2019;2;72;16;7;1714,765;12003,355000000001;February
73;2019;2;72;14;8;4534,645;36277,16;February
74;2019;2;72;12;13;772,495;10042,435;February
75;2019;2;72;9;4;396,685;1586,74;February
76;2019;2;72;1;7;1748,59;12240,13;February
77;2019;3;72;56;2;-401,11;-802,22;March
78;2019;3;72;55;3;818,83;2456,4900000000002;March
79;2019;3;72;54;4;3250,915;13003,66;March
80;2019;3;72;53;1;72,95;72,95;March
81;2019;3;72;52;1;209,055;209,055;March
82;2019;3;72;47;5;636,58;3182,9;March
83;2019;3;72;46;2;302,815;605,63;March
84;2019;3;72;43;7;1099,06;7693,42;March
85;2019;3;72;39;1;67,0;67,0;March
86;2019;3;72;38;2;418,8;837,6;March
87;2019;3;72;20;3;2386,4;7159,200000000001;March
88;2019;3;72;17;1;381,35;381,35;March
89;2019;3;72;16;10;4084,53;40845,3;March
90;2019;3;72;14;3;516,385;1549,155;March
91;2019;3;72;12;8;4315,47;34523,76;March
92;2019;3;72;9;5;1033,19;5165,950000000001;March
93;2019;3;72;1;5;1760,055;8800,275;March
94;2019;3;66;57;4;564,665;2258,66;March
95;2019;3;66;56;5;242,605;1213,0249999999999;March
96;2019;3;66;55;1;105,74;105,74;March
97;2019;3;66;52;1;86,055;86,055;March
98;2019;3;66;46;6;230,11;1380,66;March
99;2019;3;66;43;1;65,91;65,91;March
100;2019;3;66;39;1;64,99;64,99;March
101;2019;3;66;38;7;1566,755;10967,285;March
102;2019;3;66;19;1;79,725;79,725;March
103;2019;3;66;17;3;164,915;494,745;March
104;2019;3;66;16;4;162,05;648,2;March
105;2019;3;66;14;4;518,18;2072,72;March
106;2019;3;66;13;1;169,01;169,01;March
107;2019;3;66;2;1;87,17;87,17;March
108;2019;3;66;1;5;706,425;3532,125;March
109;2019;3;31;57;1;187,825;187,825;March
110;2019;3;31;54;1;122,045;122,045;March
111;2019;3;31;20;1;2182,525;2182,525;March
112;2019;3;31;12;1;3419,16;3419,16;March
113;2019;3;31;9;1;255,875;255,875;March
114;2019;3;64;57;1;75,0;75,0;March
115;2019;3;64;16;1;104,23;104,23;March
116;2019;3;83;56;1;57,77;57,77;March
117;2019;3;81;54;1;102,7;102,7;March
118;2019;3;81;20;1;2002,635;2002,635;March
119;2019;3;44;56;2;561,495;1122,99;March
120;2019;3;44;42;3;142,405;427,21500000000003;March
121;2019;3;44;38;7;170,985;1196,895;March
122;2019;3;44;35;2;69,0;138,0;March
123;2019;3;44;16;5;186,1;930,5;March
124;2019;3;44;12;7;185,885;1301,195;March
125;2019;3;44;9;1;69,0;69,0;March
126;2019;3;43;56;1;79,255;79,255;March
127;2019;3;58;9;2;100,07;200,14;March
128;2019;3;23;20;1;110,25;110,25;March
129;2019;3;55;20;2;411,955;823,91;March
130;2019;3;42;59;1;101,845;101,845;March
131;2019;3;21;20;5;1381,1;6905,5;March
132;2019;3;13;57;1;146,975;146,975;March
133;2019;4;21;20;2;522,985;1045,97;April
134;2019;4;55;20;3;3119,31;9357,93;April
135;2019;4;55;19;1;270,655;270,655;April
136;2019;4;23;16;2;175,37;350,74;April
137;2019;4;43;56;1;79,255;79,255;April
138;2019;4;44;56;1;173,46;173,46;April
139;2019;4;44;54;1;542,175;542,175;April
140;2019;4;44;42;4;100,465;401,86;April
141;2019;4;44;38;15;1601,595;24023,925;April
142;2019;4;44;35;1;59,5;59,5;April
143;2019;4;44;17;1;59,0;59,0;April
144;2019;4;44;16;3;111,75;335,25;April
145;2019;4;44;12;7;257,275;1800,9249999999997;April
146;2019;4;44;9;4;137,185;548,74;April
147;2019;4;83;56;1;57,77;57,77;April
148;2019;4;64;57;2;146,1;292,2;April
149;2019;4;64;26;6;1669,51;10017,06;April
150;2019;4;64;16;1;394,815;394,815;April
151;2019;4;31;56;2;1233,775;2467,55;April
152;2019;4;31;12;1;3419,16;3419,16;April
153;2019;4;31;9;1;87,5;87,5;April
154;2019;4;66;58;1;58,61;58,61;April
155;2019;4;66;57;2;93,18;186,36;April
156;2019;4;66;56;16;1268,605;20297,68;April
157;2019;4;66;55;2;111,45;222,9;April
158;2019;4;66;54;1;70,52;70,52;April
159;2019;4;66;52;1;113,815;113,815;April
160;2019;4;66;41;1;286,795;286,795;April
161;2019;4;66;38;5;1268,66;6343,3;April
162;2019;4;66;20;2;520,37;1040,74;April
163;2019;4;66;19;1;97,6;97,6;April
164;2019;4;66;16;6;452,685;2716,11;April
165;2019;4;66;14;7;1980,64;13864,480000000001;April
166;2019;4;66;1;2;177,54;355,08;April
167;2019;4;72;58;1;325,62;325,62;April
168;2019;4;72;57;5;381,14;1905,6999999999998;April
169;2019;4;72;56;16;1602,375;25638,0;April
170;2019;4;72;55;1;487,06;487,06;April
171;2019;4;72;54;6;4437,425;26624,550000000003;April
172;2019;4;72;52;1;234,125;234,125;April
173;2019;4;72;47;5;234,245;1171,225;April
174;2019;4;72;46;1;225,065;225,065;April
175;2019;4;72;43;3;284,92;854,76;April
176;2019;4;72;42;2;111,715;223,43;April
177;2019;4;72;41;1;651,81;651,81;April
178;2019;4;72;39;1;6269,195;6269,195;April
179;2019;4;72;38;15;6013,9;90208,5;April
180;2019;4;72;35;3;284,88;854,64;April
181;2019;4;72;20;2;725,55;1451,1;April
182;2019;4;72;19;11;5873,685;64610,535;April
183;2019;4;72;16;9;3636,405;32727,645;April
184;2019;4;72;14;8;5634,165;45073,32;April
185;2019;4;72;12;9;5312,975;47816,775;April
186;2019;4;72;9;2;152,21;304,42;April
187;2019;4;72;1;4;1095,23;4380,92;April
188;2019;5;72;59;2;115,81;231,62;May
189;2019;5;72;57;1;94,59;94,59;May
190;2019;5;72;56;2;1767,72;3535,44;May
191;2019;5;72;55;1;487,06;487,06;May
192;2019;5;72;54;5;3273,49;16367,449999999999;May
193;2019;5;72;47;1;56,375;56,375;May
194;2019;5;72;43;2;457,345;914,69;May
195;2019;5;72;38;4;624,355;2497,42;May
196;2019;5;72;20;1;430,545;430,545;May
197;2019;5;72;19;7;4823,11;33761,77;May
198;2019;5;72;17;7;1266,63;8866,41;May
199;2019;5;72;16;5;1843,695;9218,475;May
200;2019;5;72;14;7;1648,115;11536,805;May
201;2019;5;72;12;10;1133,035;11330,35;May
202;2019;5;72;9;2;284,885;569,77;May
203;2019;5;72;1;2;710,345;1420,69;May
204;2019;5;66;58;1;361,155;361,155;May
205;2019;5;66;57;3;107,415;322,245;May
206;2019;5;66;56;6;695,255;4171,53;May
207;2019;5;66;55;4;67,74;270,96;May
208;2019;5;66;54;2;1026,33;2052,66;May
209;2019;5;66;52;2;284,555;569,11;May
210;2019;5;66;47;2;161,875;323,75;May
211;2019;5;66;44;1;87,475;87,475;May
212;2019;5;66;43;1;89,185;89,185;May
213;2019;5;66;42;1;162,96;162,96;May
214;2019;5;66;38;2;177,175;354,35;May
215;2019;5;66;20;5;372,065;1860,325;May
216;2019;5;66;19;11;540,59;5946,490000000001;May
217;2019;5;66;17;1;71,42;71,42;May
218;2019;5;66;16;8;370,93;2967,44;May
