;ano;mes;seguradora;vendedor;tot_apolices;venda;tot_venda;month_name
0;2019;1;66;1;1;174,055;174,055;January
1;2019;1;31;58;1;92,31;92,31;January
2;2019;1;72;35;6;900,08;5400,4800000000005;January
3;2019;1;55;20;1;7550,0;7550,0;January
4;2019;1;72;58;2;84,175;168,35;January
5;2019;1;72;38;9;1570,915;14138,235;January
6;2019;1;72;56;8;744,255;5954,04;January
7;2019;1;43;17;1;257,525;257,525;January
8;2019;1;64;26;8;1574,47;12595,76;January
9;2019;1;72;9;2;82,075;164,15;January
10;2019;1;31;35;2;1217,555;2435,11;January
11;2019;1;66;19;6;99,945;599,67;January
12;2019;1;81;20;1;2002,635;2002,635;January
13;2019;1;66;57;5;1027,795;5138,975;January
14;2019;1;44;16;5;363,69;1818,45;January
15;2019;1;44;17;2;88,0;176,0;January
16;2019;1;38;56;2;507,75;1015,5;January
17;2019;1;66;20;6;1029,605;6177,63;January
18;2019;1;23;20;1;230,75;230,75;January
19;2019;1;66;2;1;87,175;87,175;January
20;2019;1;72;57;12;1803,145;21637,739999999998;January
21;2019;1;44;14;3;117,875;353,625;January
22;2019;1;72;16;4;174,54;698,16;January
23;2019;1;72;12;18;9455,28;170195,04;January
24;2019;1;72;53;1;72,95;72,95;January
25;2019;1;44;58;1;605,115;605,115;January
26;2019;1;72;42;1;638,925;638,925;January
27;2019;1;66;13;1;297,94;297,94;January
28;2019;1;44;42;3;108,11;324,33;January
29;2019;1;44;56;2;580,955;1161,91;January
30;2019;1;21;16;1;395,995;395,995;January
31;2019;1;66;14;8;1962,38;15699,04;January
32;2019;1;66;38;6;283,225;1699,3500000000001;January
33;2019;1;44;9;1;83,11;83,11;January
34;2019;1;31;57;1;810,835;810,835;January
35;2019;1;72;47;10;924,565;9245,650000000001;January
36;2019;1;31;19;1;537,22;537,22;January
37;2019;1;72;2;3;485,39;1456,17;January
38;2019;1;72;46;1;93,42;93,42;January
39;2019;1;43;56;1;167,025;167,025;January
40;2019;1;72;17;2;193,665;387,33;January
41;2019;1;31;47;2;615,745;1231,49;January
42;2019;1;78;25;1;50,0;50,0;January
43;2019;1;31;2;1;2389,95;2389,95;January
44;2019;1;66;17;2;142,445;284,89;January
45;2019;1;19;54;1;635,87;635,87;January
46;2019;1;66;46;4;182,145;728,58;January
47;2019;1;72;39;1;99,005;99,005;January
48;2019;1;66;47;1;71,42;71,42;January
49;2019;1;66;55;1;51,785;51,785;January
50;2019;1;72;14;4;3501,23;14004,92;January
51;2019;1;58;9;2;175,175;350,35;January
52;2019;1;72;54;1;-1950,725;-1950,725;January
53;2019;1;66;56;7;762,925;5340,474999999999;January
54;2019;1;21;12;1;3225,78;3225,78;January
55;2019;1;72;20;4;1392,995;5571,98;January
56;2019;1;81;2;1;0,0;0,0;January
57;2019;1;44;12;5;366,345;1831,7250000000001;January
58;2019;1;44;38;9;1326,795;11941,155;January
59;2019;1;66;16;8;415,39;3323,12;January
60;2019;2;72;9;6;724,34;4346,04;February
61;2019;2;72;43;7;1079,155;7554,085;February
62;2019;2;31;12;2;10096,05;20192,1;February
63;2019;2;72;57;1;2279,3;2279,3;February
64;2019;2;64;57;1;75,0;75,0;February
65;2019;2;66;14;6;1168,69;7012,14;February
66;2019;2;44;35;2;69,0;138,0;February
67;2019;2;72;18;1;220,06;220,06;February
68;2019;2;72;38;5;2275,28;11376,400000000001;February
69;2019;2;44;56;2;561,495;1122,99;February
70;2019;2;66;2;1;262,795;262,795;February
71;2019;2;42;59;1;101,8;101,8;February
72;2019;2;31;9;1;231,17;231,17;February
73;2019;2;72;56;5;570,025;2850,125;February
74;2019;2;21;20;3;941,225;2823,675;February
75;2019;2;72;1;3;549,85;1649,5500000000002;February
76;2019;2;66;46;1;102,91;102,91;February
77;2019;2;66;55;7;694,035;4858,245;February
78;2019;2;55;20;2;411,955;823,91;February
79;2019;2;72;12;8;7730,815;61846,52;February
80;2019;2;66;20;5;645,52;3227,6;February
81;2019;2;44;16;3;141,955;425,865;February
82;2019;2;72;59;2;97,005;194,01;February
83;2019;2;72;42;1;4404,765;4404,765;February
84;2019;2;72;39;1;883,2;883,2;February
85;2019;2;83;56;1;81,07;81,07;February
86;2019;2;13;57;1;166,88;166,88;February
87;2019;2;66;18;1;92,985;92,985;February
88;2019;2;72;52;1;209,055;209,055;February
89;2019;2;66;38;12;1820,165;21841,98;February
90;2019;2;72;47;14;1957,345;27402,83;February
91;2019;2;31;54;1;101,87;101,87;February
92;2019;2;44;38;3;104,005;312,015;February
93;2019;2;66;19;2;185,1;370,2;February
94;2019;2;66;16;5;304,16;1520,8000000000002;February
95;2019;2;81;2;1;0,0;0,0;February
96;2019;2;66;57;4;561,3;2245,2;February
97;2019;2;72;54;4;6419,6;25678,4;February
98;2019;2;72;41;3;394,86;1184,58;February
99;2019;2;58;9;2;175,175;350,35;February
100;2019;2;44;42;1;56,335;56,335;February
101;2019;2;72;14;6;1283,315;7699,89;February
102;2019;2;72;16;13;10872,925;141348,025;February
103;2019;2;66;52;1;86,055;86,055;February
104;2019;2;72;20;1;389,99;389,99;February
105;2019;2;23;16;1;121,87;121,87;February
106;2019;2;64;16;1;104,23;104,23;February
107;2019;2;66;39;2;66,775;133,55;February
108;2019;2;66;41;2;508,51;1017,02;February
109;2019;2;72;17;1;115,845;115,845;February
110;2019;2;78;25;1;50,0;50,0;February
111;2019;2;66;35;3;289,815;869,4449999999999;February
112;2019;2;44;9;3;119,015;357,045;February
113;2019;2;72;55;2;953,93;1907,86;February
114;2019;2;66;56;4;259,155;1036,62;February
115;2019;2;72;46;1;127,75;127,75;February
116;2019;2;75;37;1;50,0;50,0;February
117;2019;2;31;20;2;3012,71;6025,42;February
118;2019;2;44;12;7;589,76;4128,32;February
119;2019;3;66;46;3;373,77;1121,31;March
120;2019;3;72;57;4;360,595;1442,38;March
121;2019;3;58;9;2;109,62;219,24;March
122;2019;3;64;57;1;90,4;90,4;March
123;2019;3;72;19;6;2051,135;12306,810000000001;March
124;2019;3;31;57;1;65,315;65,315;March
125;2019;3;66;55;7;310,14;2170,98;March
126;2019;3;44;38;8;698,645;5589,16;March
127;2019;3;74;20;2;1627,375;3254,75;March
128;2019;3;23;20;1;1121,06;1121,06;March
129;2019;3;83;42;1;188,435;188,435;March
130;2019;3;66;17;3;249,785;749,355;March
131;2019;3;31;42;1;103,395;103,395;March
132;2019;3;19;54;3;1875,63;5626,89;March
133;2019;3;66;14;9;582,065;5238,585000000001;March
134;2019;3;72;54;5;1560,235;7801,174999999999;March
135;2019;3;72;43;1;93,09;93,09;March
136;2019;3;44;12;8;236,045;1888,36;March
137;2019;3;66;16;4;253,87;1015,48;March
138;2019;3;72;12;5;818,91;4094,5499999999997;March
139;2019;3;66;44;1;87,475;87,475;March
140;2019;3;66;58;1;58,61;58,61;March
141;2019;3;72;9;2;1347,25;2694,5;March
142;2019;3;66;54;3;1087,54;3262,62;March
143;2019;3;72;20;5;4692,605;23463,024999999998;March
144;2019;3;44;42;6;183,37;1100,22;March
145;2019;3;44;9;2;88,0;176,0;March
146;2019;3;44;16;5;151,145;755,725;March
147;2019;3;44;35;1;59,5;59,5;March
148;2019;3;72;39;2;472,265;944,53;March
149;2019;3;55;19;1;59,595;59,595;March
150;2019;3;72;16;6;834,995;5009,97;March
151;2019;3;23;16;3;210,515;631,545;March
152;2019;3;72;14;8;4237,73;33901,84;March
153;2019;3;81;2;1;1115,91;1115,91;March
154;2019;3;66;56;10;581,085;5810,85;March
155;2019;3;72;38;7;3713,855;25996,985;March
156;2019;3;72;56;9;463,24;4169,16;March
157;2019;3;72;47;7;769,665;5387,655;March
158;2019;3;55;20;2;1167,875;2335,75;March
159;2019;3;78;25;1;50,0;50,0;March
160;2019;3;72;42;2;55,825;111,65;March
161;2019;3;31;56;1;-835,12;-835,12;March
162;2019;3;66;38;3;639,505;1918,5149999999999;March
163;2019;3;31;47;2;662,09;1324,18;March
164;2019;3;21;20;4;1088,19;4352,76;March
165;2019;3;72;59;2;98,555;197,11;March
166;2019;3;81;54;1;106,59;106,59;March
167;2019;3;72;55;1;732,095;732,095;March
168;2019;3;66;57;2;115,255;230,51;March
169;2019;3;66;19;2;134,43;268,86;March
170;2019;3;72;46;2;1228,795;2457,59;March
171;2019;3;66;43;1;65,91;65,91;March
172;2019;4;72;20;2;232,62;465,24;April
173;2019;4;44;38;17;1582,83;26908,11;April
174;2019;4;66;17;1;50,0;50,0;April
175;2019;4;66;16;8;255,365;2042,92;April
176;2019;4;72;14;6;3694,85;22169,1;April
177;2019;4;44;12;6;637,255;3823,5299999999997;April
178;2019;4;31;20;1;163,375;163,375;April
179;2019;4;66;42;1;275,925;275,925;April
180;2019;4;44;9;2;99,185;198,37;April
181;2019;4;44;16;4;244,6;978,4;April
182;2019;4;44;19;1;67,5;67,5;April
183;2019;4;21;25;2;50,0;100,0;April
184;2019;4;66;56;9;390,27;3512,43;April
185;2019;4;66;52;1;113,82;113,82;April
186;2019;4;42;20;1;234,005;234,005;April
187;2019;4;66;47;1;76,92;76,92;April
188;2019;4;31;57;4;202,555;810,22;April
189;2019;4;72;19;9;3056,845;27511,605;April
190;2019;4;66;38;8;1885,915;15087,32;April
191;2019;4;66;58;1;367,945;367,945;April
192;2019;4;72;47;3;264,01;792,03;April
193;2019;4;44;56;1;173,46;173,46;April
194;2019;4;64;57;4;130,645;522,58;April
195;2019;4;78;25;1;50,0;50,0;April
196;2019;4;13;16;1;322,52;322,52;April
197;2019;4;72;57;2;107,38;214,76;April
198;2019;4;31;54;2;-959,3;-1918,6;April
199;2019;4;72;43;6;1281,31;7687,86;April
200;2019;4;43;56;1;68,64;68,64;April
