;seguradora;date;total_venda;total_receita;valor_recebido;status
0;13;2019-02-01;166,88;0,0;-166,88;Inadimplente
1;13;2019-04-01;322,52;0,0;-322,52;Inadimplente
2;13;2019-05-01;127,325;0,0;-127,325;Inadimplente
3;13;2019-07-01;199,52499999999998;360,81;161,28500000000003;Não inadimplente
4;13;2019-09-01;54,925;0,0;-54,925;Inadimplente
5;13;2019-11-01;136,14;0,0;-136,14;Inadimplente
6;13;2019-12-01;153,925;369,87;215,945;Não inadimplente
7;13;2020-01-01;186,97000000000003;187,82;0,8499999999999659;Não inadimplente
8;13;2020-02-01;121,3;122,12;0,8200000000000074;Não inadimplente
9;13;2020-04-01;192,465;109,155;-83,31;Inadimplente
10;13;2020-06-01;130,235;0,0;-130,235;Inadimplente
11;19;2019-01-01;635,87;0,0;-635,87;Inadimplente
12;19;2019-03-01;5626,89;0,0;-5626,89;Inadimplente
13;19;2019-05-01;2810,27;330,865;-2479,4049999999997;Inadimplente
14;19;2019-07-01;335,625;388,785;53,160000000000025;Não inadimplente
15;19;2019-08-01;265,285;724,4100000000001;459,12500000000006;Não inadimplente
16;19;2020-04-01;-34795,89;0,0;34795,89;Não inadimplente
17;21;2019-01-01;3621,775;3225,78;-395,9949999999999;Inadimplente
18;21;2019-02-01;2823,675;395,995;-2427,6800000000003;Inadimplente
19;21;2019-03-01;4352,76;6905,5;2552,74;Não inadimplente
20;21;2019-04-01;2376,28;1045,97;-1330,3100000000002;Inadimplente
21;21;2019-05-01;3451,44;1619,395;-1832,045;Inadimplente
22;21;2019-06-01;1567,545;2773,625;1206,08;Não inadimplente
23;21;2019-07-01;566,29;516,29;-50,0;Inadimplente
24;21;2019-08-01;1999,64;159,54;-1840,1000000000001;Inadimplente
25;21;2019-09-01;5458,61;8764,849999999999;3306,239999999999;Não inadimplente
26;21;2019-10-01;74,675;126,75;52,075;Não inadimplente
27;21;2019-11-01;87,33;124,675;37,345;Não inadimplente
28;21;2019-12-01;74,59;87,33;12,739999999999995;Não inadimplente
29;21;2020-01-01;254,23;74,59;-179,64;Inadimplente
30;21;2020-02-01;228,775;317,64;88,86499999999998;Não inadimplente
31;21;2020-03-01;30630,005;30660,350000000002;30,345000000001164;Não inadimplente
32;21;2020-04-01;2654,425;-14,655000000000001;-2669,0800000000004;Inadimplente
33;21;2020-05-01;-520,945;2128,2149999999997;2649,16;Não inadimplente
34;21;2020-06-01;33504,47;10163,73;-23340,74;Inadimplente
35;23;2019-01-01;230,75;110,8;-119,95;Inadimplente
36;23;2019-02-01;121,87;110,25;-11,620000000000005;Inadimplente
37;23;2019-03-01;1752,605;110,25;-1642,355;Inadimplente
38;23;2019-04-01;1202,02;350,74;-851,28;Inadimplente
39;23;2019-06-01;722,14;153,295;-568,845;Inadimplente
40;23;2019-07-01;351,78499999999997;300,76;-51,02499999999998;Inadimplente
41;23;2019-08-01;6994,12;2201,69;-4792,43;Inadimplente
42;23;2019-09-01;100,0;2201,695;2101,695;Não inadimplente
43;23;2019-10-01;785,72;0,0;-785,72;Inadimplente
44;23;2019-11-01;1929,75;141,035;-1788,715;Inadimplente
45;23;2019-12-01;70,78;1896,435;1825,655;Não inadimplente
46;23;2020-01-01;20874,875;19450,855;-1424,0200000000004;Inadimplente
47;23;2020-02-01;729,035;1439,22;710,1850000000001;Não inadimplente
48;23;2020-03-01;659,53;729,035;69,505;Não inadimplente
49;23;2020-05-01;605,85;0,0;-605,85;Inadimplente
50;23;2020-06-01;325,32500000000005;0,0;-325,32500000000005;Inadimplente
51;24;2019-10-01;100,0;0,0;-100,0;Inadimplente
52;24;2019-11-01;50,0;86,0;36,0;Não inadimplente
53;24;2020-03-01;1797,05;0,0;-1797,05;Inadimplente
54;24;2020-06-01;175,925;0,0;-175,925;Inadimplente
55;31;2019-01-01;7496,915;0,0;-7496,915;Inadimplente
56;31;2019-02-01;26550,559999999998;3398,36;-23152,199999999997;Inadimplente
57;31;2019-03-01;657,7700000000002;6167,43;5509,66;Não inadimplente
58;31;2019-04-01;8333,9;5974,21;-2359,6899999999996;Inadimplente
59;31;2019-05-01;201799,04499999998;41927,965;-159871,08;Inadimplente
60;31;2019-06-01;24632,18;2962,12;-21670,06;Inadimplente
61;31;2019-07-01;-10477,185;11576,08;22053,265;Não inadimplente
62;31;2019-08-01;231543,665;70919,53;-160624,135;Inadimplente
63;31;2019-09-01;9269,87;29386,065000000006;20116,195000000007;Não inadimplente
64;31;2019-10-01;64210,439999999995;6086,580000000001;-58123,85999999999;Inadimplente
65;31;2019-11-01;58871,549999999996;101724,41;42852,86000000001;Não inadimplente
66;31;2019-12-01;69276,085;55172,475;-14103,610000000008;Inadimplente
67;31;2020-01-01;1115457,32;68352,555;-1047104,7650000001;Inadimplente
68;31;2020-02-01;13206,650000000001;77885,835;64679,185000000005;Não inadimplente
69;31;2020-03-01;144086,165;297385,02;153298,855;Não inadimplente
70;31;2020-04-01;243471,03;69616,215;-173854,815;Inadimplente
71;31;2020-05-01;-132485,48000000004;140258,47;272743,95000000007;Não inadimplente
72;31;2020-06-01;219710,62;129832,875;-89877,745;Inadimplente
73;33;2019-04-01;163,755;0,0;-163,755;Inadimplente
74;33;2020-01-01;84,82;0,0;-84,82;Inadimplente
75;33;2020-02-01;80,64;0,0;-80,64;Inadimplente
76;35;2019-07-01;4322,43;0,0;-4322,43;Inadimplente
77;35;2019-09-01;341,85;0,0;-341,85;Inadimplente
78;35;2019-10-01;183,095;67,88;-115,215;Inadimplente
79;35;2019-12-01;57,5;0,0;-57,5;Inadimplente
80;35;2020-03-01;55,25;4322,43;4267,18;Não inadimplente
81;35;2020-04-01;8983,275000000001;0,0;-8983,275000000001;Inadimplente
82;35;2020-05-01;50,0;623,37;573,37;Não inadimplente
83;35;2020-06-01;50,0;0,0;-50,0;Inadimplente
84;38;2019-01-01;1015,5;0,0;-1015,5;Inadimplente
85;38;2020-05-01;50,0;0,0;-50,0;Inadimplente
86;38;2020-06-01;144,47;0,0;-144,47;Inadimplente
87;4;2020-06-01;2825,015;1437,505;-1387,5099999999998;Inadimplente
88;41;2020-04-01;-531,705;0,0;531,705;Não inadimplente
89;41;2020-05-01;3367,35;2124,5099999999998;-1242,8400000000001;Inadimplente
90;41;2020-06-01;7816,94;422,175;-7394,764999999999;Inadimplente
91;42;2019-02-01;101,8;0,0;-101,8;Inadimplente
92;42;2019-04-01;234,005;0,0;-234,005;Inadimplente
93;42;2019-06-01;231,525;234,005;2,4799999999999898;Não inadimplente
