;ano;mes;seguradora;vendedor;tot_apolices;receita;date;total_receita
0;2019;1;72;58;1;65,3;2019-01-01;65,3
1;2019;1;72;57;4;1360,235;2019-01-01;5440,94
2;2019;1;72;56;3;276,49;2019-01-01;829,47
3;2019;1;72;47;2;-1707,095;2019-01-01;-3414,19
4;2019;1;72;38;3;1080,745;2019-01-01;3242,2349999999997
5;2019;1;72;35;2;446,095;2019-01-01;892,19
6;2019;1;72;20;2;462,035;2019-01-01;924,07
7;2019;1;72;17;1;139,395;2019-01-01;139,395
8;2019;1;72;16;2;125,85;2019-01-01;251,7
9;2019;1;72;14;2;126,785;2019-01-01;253,57
10;2019;1;72;12;6;412,11;2019-01-01;2472,66
11;2019;1;72;9;1;66,515;2019-01-01;66,515
12;2019;1;72;2;3;631,265;2019-01-01;1893,795
13;2019;1;72;1;1;155,67;2019-01-01;155,67
14;2019;1;66;57;2;89,42;2019-01-01;178,84
15;2019;1;66;56;1;90,9;2019-01-01;90,9
16;2019;1;66;55;1;71,42;2019-01-01;71,42
17;2019;1;66;38;5;265,21;2019-01-01;1326,05
18;2019;1;66;20;1;71,42;2019-01-01;71,42
19;2019;1;66;16;3;223,485;2019-01-01;670,455
20;2019;1;66;14;2;642,53;2019-01-01;1285,06
21;2019;1;66;1;1;71,42;2019-01-01;71,42
22;2019;1;44;56;1;84,095;2019-01-01;84,095
23;2019;1;44;42;1;81,8;2019-01-01;81,8
24;2019;1;44;38;4;474,08;2019-01-01;1896,32
25;2019;1;44;16;1;69,0;2019-01-01;69,0
26;2019;1;44;14;1;69,0;2019-01-01;69,0
27;2019;1;44;9;1;83,11;2019-01-01;83,11
28;2019;1;55;20;1;1283,105;2019-01-01;1283,105
29;2019;1;58;9;2;175,175;2019-01-01;350,35
30;2019;1;23;20;1;110,8;2019-01-01;110,8
31;2019;1;21;12;1;3225,78;2019-01-01;3225,78
32;2019;2;21;16;1;395,995;2019-02-01;395,995
33;2019;2;38;56;1;243,45;2019-02-01;243,45
34;2019;2;23;20;1;110,25;2019-02-01;110,25
35;2019;2;58;9;2;100,07;2019-02-01;200,14
36;2019;2;43;17;1;243,265;2019-02-01;243,265
37;2019;2;44;56;1;546,86;2019-02-01;546,86
38;2019;2;44;42;2;76,31;2019-02-01;152,62
39;2019;2;44;38;5;788,665;2019-02-01;3943,325
40;2019;2;44;16;4;344,69;2019-02-01;1378,76
41;2019;2;44;14;2;98,875;2019-02-01;197,75
42;2019;2;44;12;4;352,765;2019-02-01;1411,06
43;2019;2;44;9;2;100,015;2019-02-01;200,03
44;2019;2;64;26;2;113,165;2019-02-01;226,33
45;2019;2;31;57;1;810,835;2019-02-01;810,835
46;2019;2;31;35;1;94,68;2019-02-01;94,68
47;2019;2;31;20;1;880,185;2019-02-01;880,185
48;2019;2;31;1;2;806,33;2019-02-01;1612,66
49;2019;2;66;57;3;997,575;2019-02-01;2992,7250000000004
50;2019;2;66;56;2;105,315;2019-02-01;210,63
51;2019;2;66;47;1;71,42;2019-02-01;71,42
52;2019;2;66;39;1;60,71;2019-02-01;60,71
53;2019;2;66;38;8;506,76;2019-02-01;4054,08
54;2019;2;66;35;3;289,81;2019-02-01;869,4300000000001
55;2019;2;66;20;3;156,815;2019-02-01;470,445
56;2019;2;66;19;5;264,65;2019-02-01;1323,25
57;2019;2;66;18;1;92,985;2019-02-01;92,985
58;2019;2;66;16;4;393,005;2019-02-01;1572,02
59;2019;2;66;14;4;369,59;2019-02-01;1478,36
60;2019;2;66;1;2;205,125;2019-02-01;410,25
61;2019;2;72;57;8;3043,035;2019-02-01;24344,28
62;2019;2;72;56;8;1198,175;2019-02-01;9585,4
63;2019;2;72;47;5;503,455;2019-02-01;2517,275
64;2019;2;72;46;1;104,27;2019-02-01;104,27
65;2019;2;72;42;2;2521,845;2019-02-01;5043,69
66;2019;2;72;41;3;394,86;2019-02-01;1184,58
67;2019;2;72;39;2;932,205;2019-02-01;1864,41
68;2019;2;72;38;10;2750,97;2019-02-01;27509,699999999997
69;2019;2;72;35;4;503,985;2019-02-01;2015,94
70;2019;2;72;20;3;1111,17;2019-02-01;3333,51
71;2019;2;72;18;1;220,06;2019-02-01;220,06
72;2019;2;72;16;7;1714,765;2019-02-01;12003,355000000001
73;2019;2;72;14;8;4534,645;2019-02-01;36277,16
74;2019;2;72;12;13;772,495;2019-02-01;10042,435
75;2019;2;72;9;4;396,685;2019-02-01;1586,74
76;2019;2;72;1;7;1748,59;2019-02-01;12240,13
77;2019;3;72;56;2;-401,11;2019-03-01;-802,22
78;2019;3;72;55;3;818,83;2019-03-01;2456,4900000000002
79;2019;3;72;54;4;3250,915;2019-03-01;13003,66
80;2019;3;72;53;1;72,95;2019-03-01;72,95
81;2019;3;72;52;1;209,055;2019-03-01;209,055
82;2019;3;72;47;5;636,58;2019-03-01;3182,9
83;2019;3;72;46;2;302,815;2019-03-01;605,63
84;2019;3;72;43;7;1099,06;2019-03-01;7693,42
85;2019;3;72;39;1;67,0;2019-03-01;67,0
86;2019;3;72;38;2;418,8;2019-03-01;837,6
87;2019;3;72;20;3;2386,4;2019-03-01;7159,200000000001
88;2019;3;72;17;1;381,35;2019-03-01;381,35
89;2019;3;72;16;10;4084,53;2019-03-01;40845,3
90;2019;3;72;14;3;516,385;2019-03-01;1549,155
91;2019;3;72;12;8;4315,47;2019-03-01;34523,76
92;2019;3;72;9;5;1033,19;2019-03-01;5165,950000000001
93;2019;3;72;1;5;1760,055;2019-03-01;8800,275
94;2019;3;66;57;4;564,665;2019-03-01;2258,66
95;2019;3;66;56;5;242,605;2019-03-01;1213,0249999999999
96;2019;3;66;55;1;105,74;2019-03-01;105,74
97;2019;3;66;52;1;86,055;2019-03-01;86,055
98;2019;3;66;46;6;230,11;2019-03-01;1380,66
99;2019;3;66;43;1;65,91;2019-03-01;65,91
100;2019;3;66;39;1;64,99;2019-03-01;64,99
101;2019;3;66;38;7;1566,755;2019-03-01;10967,285
102;2019;3;66;19;1;79,725;2019-03-01;79,725
103;2019;3;66;17;3;164,915;2019-03-01;494,745
104;2019;3;66;16;4;162,05;2019-03-01;648,2
105;2019;3;66;14;4;518,18;2019-03-01;2072,72
106;2019;3;66;13;1;169,01;2019-03-01;169,01
107;2019;3;66;2;1;87,17;2019-03-01;87,17
108;2019;3;66;1;5;706,425;2019-03-01;3532,125
109;2019;3;31;57;1;187,825;2019-03-01;187,825
110;2019;3;31;54;1;122,045;2019-03-01;122,045
111;2019;3;31;20;1;2182,525;2019-03-01;2182,525
112;2019;3;31;12;1;3419,16;2019-03-01;3419,16
113;2019;3;31;9;1;255,875;2019-03-01;255,875
114;2019;3;64;57;1;75,0;2019-03-01;75,0
115;2019;3;64;16;1;104,23;2019-03-01;104,23
116;2019;3;83;56;1;57,77;2019-03-01;57,77
117;2019;3;81;54;1;102,7;2019-03-01;102,7
118;2019;3;81;20;1;2002,635;2019-03-01;2002,635
119;2019;3;44;56;2;561,495;2019-03-01;1122,99
120;2019;3;44;42;3;142,405;2019-03-01;427,21500000000003
121;2019;3;44;38;7;170,985;2019-03-01;1196,895
122;2019;3;44;35;2;69,0;2019-03-01;138,0
123;2019;3;44;16;5;186,1;2019-03-01;930,5
124;2019;3;44;12;7;185,885;2019-03-01;1301,195
125;2019;3;44;9;1;69,0;2019-03-01;69,0
126;2019;3;43;56;1;79,255;2019-03-01;79,255
127;2019;3;58;9;2;100,07;2019-03-01;200,14
128;2019;3;23;20;1;110,25;2019-03-01;110,25
129;2019;3;55;20;2;411,955;2019-03-01;823,91
130;2019;3;42;59;1;101,845;2019-03-01;101,845
131;2019;3;21;20;5;1381,1;2019-03-01;6905,5
132;2019;3;13;57;1;146,975;2019-03-01;146,975
