;ano;mes;seguradora;vendedor;tot_apolices;venda;date;total_venda
0;2019;1;66;1;1;174,055;2019-01-01;174,055
1;2019;1;31;58;1;92,31;2019-01-01;92,31
2;2019;1;72;35;6;900,08;2019-01-01;5400,4800000000005
3;2019;1;55;20;1;7550,0;2019-01-01;7550,0
4;2019;1;72;58;2;84,175;2019-01-01;168,35
5;2019;1;72;38;9;1570,915;2019-01-01;14138,235
6;2019;1;72;56;8;744,255;2019-01-01;5954,04
7;2019;1;43;17;1;257,525;2019-01-01;257,525
8;2019;1;64;26;8;1574,47;2019-01-01;12595,76
9;2019;1;72;9;2;82,075;2019-01-01;164,15
10;2019;1;31;35;2;1217,555;2019-01-01;2435,11
11;2019;1;66;19;6;99,945;2019-01-01;599,67
12;2019;1;81;20;1;2002,635;2019-01-01;2002,635
13;2019;1;66;57;5;1027,795;2019-01-01;5138,975
14;2019;1;44;16;5;363,69;2019-01-01;1818,45
15;2019;1;44;17;2;88,0;2019-01-01;176,0
16;2019;1;38;56;2;507,75;2019-01-01;1015,5
17;2019;1;66;20;6;1029,605;2019-01-01;6177,63
18;2019;1;23;20;1;230,75;2019-01-01;230,75
19;2019;1;66;2;1;87,175;2019-01-01;87,175
20;2019;1;72;57;12;1803,145;2019-01-01;21637,739999999998
21;2019;1;44;14;3;117,875;2019-01-01;353,625
22;2019;1;72;16;4;174,54;2019-01-01;698,16
23;2019;1;72;12;18;9455,28;2019-01-01;170195,04
24;2019;1;72;53;1;72,95;2019-01-01;72,95
25;2019;1;44;58;1;605,115;2019-01-01;605,115
26;2019;1;72;42;1;638,925;2019-01-01;638,925
27;2019;1;66;13;1;297,94;2019-01-01;297,94
28;2019;1;44;42;3;108,11;2019-01-01;324,33
29;2019;1;44;56;2;580,955;2019-01-01;1161,91
30;2019;1;21;16;1;395,995;2019-01-01;395,995
31;2019;1;66;14;8;1962,38;2019-01-01;15699,04
32;2019;1;66;38;6;283,225;2019-01-01;1699,3500000000001
33;2019;1;44;9;1;83,11;2019-01-01;83,11
34;2019;1;31;57;1;810,835;2019-01-01;810,835
35;2019;1;72;47;10;924,565;2019-01-01;9245,650000000001
36;2019;1;31;19;1;537,22;2019-01-01;537,22
37;2019;1;72;2;3;485,39;2019-01-01;1456,17
38;2019;1;72;46;1;93,42;2019-01-01;93,42
39;2019;1;43;56;1;167,025;2019-01-01;167,025
40;2019;1;72;17;2;193,665;2019-01-01;387,33
41;2019;1;31;47;2;615,745;2019-01-01;1231,49
42;2019;1;78;25;1;50,0;2019-01-01;50,0
43;2019;1;31;2;1;2389,95;2019-01-01;2389,95
44;2019;1;66;17;2;142,445;2019-01-01;284,89
45;2019;1;19;54;1;635,87;2019-01-01;635,87
46;2019;1;66;46;4;182,145;2019-01-01;728,58
47;2019;1;72;39;1;99,005;2019-01-01;99,005
48;2019;1;66;47;1;71,42;2019-01-01;71,42
49;2019;1;66;55;1;51,785;2019-01-01;51,785
50;2019;1;72;14;4;3501,23;2019-01-01;14004,92
51;2019;1;58;9;2;175,175;2019-01-01;350,35
52;2019;1;72;54;1;-1950,725;2019-01-01;-1950,725
53;2019;1;66;56;7;762,925;2019-01-01;5340,474999999999
54;2019;1;21;12;1;3225,78;2019-01-01;3225,78
55;2019;1;72;20;4;1392,995;2019-01-01;5571,98
56;2019;1;81;2;1;987,505;2019-01-01;987,505
57;2019;1;44;12;5;366,345;2019-01-01;1831,7250000000001
58;2019;1;44;38;9;1326,795;2019-01-01;11941,155
59;2019;1;66;16;8;415,39;2019-01-01;3323,12
60;2019;2;72;9;6;724,34;2019-02-01;4346,04
61;2019;2;72;43;7;1079,155;2019-02-01;7554,085
62;2019;2;31;12;2;10096,05;2019-02-01;20192,1
63;2019;2;72;57;1;2279,3;2019-02-01;2279,3
64;2019;2;64;57;1;75,0;2019-02-01;75,0
65;2019;2;66;14;6;1168,69;2019-02-01;7012,14
66;2019;2;44;35;2;69,0;2019-02-01;138,0
67;2019;2;72;18;1;220,06;2019-02-01;220,06
